candidate_name,pollster,sample_size,end_date,state,pct,recency
Kamala Harris,Trafalgar Group,1090,2024-10-13,Arizona,46,4
Donald Trump,Trafalgar Group,1090,2024-10-13,Arizona,47.5,4
Kamala Harris,Trafalgar Group,1085,2024-10-13,North Carolina,44.6,4
Donald Trump,Trafalgar Group,1085,2024-10-13,North Carolina,46.5,4
Kamala Harris,Trafalgar Group,1088,2024-10-13,Nevada,45.6,4
Donald Trump,Trafalgar Group,1088,2024-10-13,Nevada,44.8,4
Kamala Harris,ActiVote,400,2024-10-13,Washington,60,4
Donald Trump,ActiVote,400,2024-10-13,Washington,40,4
Kamala Harris,Siena/NYT,857,2024-10-10,Pennsylvania,50,7
Donald Trump,Siena/NYT,857,2024-10-10,Pennsylvania,47,7
Kamala Harris,Siena/NYT,857,2024-10-10,Pennsylvania,49,7
Donald Trump,Siena/NYT,857,2024-10-10,Pennsylvania,45,7
Kamala Harris,Siena/NYT,857,2024-10-10,Pennsylvania,50,7
Donald Trump,Siena/NYT,857,2024-10-10,Pennsylvania,47,7
Kamala Harris,Siena/NYT,857,2024-10-10,Pennsylvania,49,7
Donald Trump,Siena/NYT,857,2024-10-10,Pennsylvania,45,7
Kamala Harris,Siena/NYT,808,2024-10-10,Arizona,46,7
Donald Trump,Siena/NYT,808,2024-10-10,Arizona,51,7
Kamala Harris,Siena/NYT,808,2024-10-10,Arizona,45,7
Donald Trump,Siena/NYT,808,2024-10-10,Arizona,50,7
Kamala Harris,Siena/NYT,808,2024-10-10,Arizona,45,7
Donald Trump,Siena/NYT,808,2024-10-10,Arizona,51,7
Kamala Harris,Siena/NYT,808,2024-10-10,Arizona,44,7
Donald Trump,Siena/NYT,808,2024-10-10,Arizona,49,7
Kamala Harris,RMG Research,731,2024-10-10,Georgia,47,7
Donald Trump,RMG Research,731,2024-10-10,Georgia,50,7
Kamala Harris,American Pulse,1193,2024-10-10,Pennsylvania,47.6,7
Donald Trump,American Pulse,1193,2024-10-10,Pennsylvania,49,7
Kamala Harris,American Pulse,1193,2024-10-10,Pennsylvania,49.5,7
Donald Trump,American Pulse,1193,2024-10-10,Pennsylvania,50.5,7
Kamala Harris,University of Massachusetts Lowell/YouGov,600,2024-10-10,New Hampshire,50,7
Donald Trump,University of Massachusetts Lowell/YouGov,600,2024-10-10,New Hampshire,41,7
Kamala Harris,YouGov,1091,2024-10-10,Texas,46,7
Donald Trump,YouGov,1091,2024-10-10,Texas,51,7
Kamala Harris,ActiVote,400,2024-10-10,California,63.5,7
Donald Trump,ActiVote,400,2024-10-10,California,36.5,7
Kamala Harris,ActiVote,400,2024-10-10,Missouri,42.8,7
Donald Trump,ActiVote,400,2024-10-10,Missouri,57.2,7
Kamala Harris,InsiderAdvantage,800,2024-10-09,Michigan,46,8
Donald Trump,InsiderAdvantage,800,2024-10-09,Michigan,48,8
Kamala Harris,InsiderAdvantage,800,2024-10-09,Wisconsin,48,8
Donald Trump,InsiderAdvantage,800,2024-10-09,Wisconsin,48,8
Kamala Harris,Redfield & Wilton Strategies,608,2024-10-09,Georgia,47,8
Donald Trump,Redfield & Wilton Strategies,608,2024-10-09,Georgia,48,8
Kamala Harris,Redfield & Wilton Strategies,707,2024-10-09,Pennsylvania,46,8
Donald Trump,Redfield & Wilton Strategies,707,2024-10-09,Pennsylvania,48,8
Kamala Harris,Alaska Survey Research,1254,2024-10-09,Alaska,43,8
Donald Trump,Alaska Survey Research,1254,2024-10-09,Alaska,50,8
Kamala Harris,Alaska Survey Research,1254,2024-10-09,Alaska,46,8
Donald Trump,Alaska Survey Research,1254,2024-10-09,Alaska,54,8
Kamala Harris,TIPP,1079,2024-10-09,Pennsylvania,49.2,8
Donald Trump,TIPP,1079,2024-10-09,Pennsylvania,45.3,8
Kamala Harris,TIPP,803,2024-10-09,Pennsylvania,47.5,8
Donald Trump,TIPP,803,2024-10-09,Pennsylvania,48.9,8
Kamala Harris,TIPP,1079,2024-10-09,Pennsylvania,48.5,8
Donald Trump,TIPP,1079,2024-10-09,Pennsylvania,44.9,8
Kamala Harris,TIPP,803,2024-10-09,Pennsylvania,48.3,8
Donald Trump,TIPP,803,2024-10-09,Pennsylvania,49,8
Kamala Harris,Fabrizio/McLaughlin,800,2024-10-09,Arizona,46,8
Donald Trump,Fabrizio/McLaughlin,800,2024-10-09,Arizona,49,8
Kamala Harris,Fabrizio/McLaughlin,800,2024-10-09,Georgia,45,8
Donald Trump,Fabrizio/McLaughlin,800,2024-10-09,Georgia,50,8
Kamala Harris,Fabrizio/McLaughlin,800,2024-10-09,Michigan,48,8
Donald Trump,Fabrizio/McLaughlin,800,2024-10-09,Michigan,49,8
Kamala Harris,Fabrizio/McLaughlin,800,2024-10-09,Nevada,47,8
Donald Trump,Fabrizio/McLaughlin,800,2024-10-09,Nevada,50,8
Kamala Harris,Fabrizio/McLaughlin,800,2024-10-09,North Carolina,47,8
Donald Trump,Fabrizio/McLaughlin,800,2024-10-09,North Carolina,48,8
Kamala Harris,Fabrizio/McLaughlin,800,2024-10-09,Pennsylvania,48,8
Donald Trump,Fabrizio/McLaughlin,800,2024-10-09,Pennsylvania,49,8
Kamala Harris,Fabrizio/McLaughlin,800,2024-10-09,Wisconsin,48,8
Donald Trump,Fabrizio/McLaughlin,800,2024-10-09,Wisconsin,49,8
Kamala Harris,University of Massachusetts Lowell/YouGov,800,2024-10-09,Pennsylvania,46,8
Donald Trump,University of Massachusetts Lowell/YouGov,800,2024-10-09,Pennsylvania,45,8
Kamala Harris,ActiVote,400,2024-10-09,Michigan,51.2,8
Donald Trump,ActiVote,400,2024-10-09,Michigan,48.8,8
Kamala Harris,ActiVote,400,2024-10-09,Minnesota,52.9,8
Donald Trump,ActiVote,400,2024-10-09,Minnesota,47.1,8
Kamala Harris,InsiderAdvantage,800,2024-10-08,Pennsylvania,47,9
Donald Trump,InsiderAdvantage,800,2024-10-08,Pennsylvania,49,9
Kamala Harris,Trafalgar Group,1089,2024-10-08,Georgia,44.9,9
Donald Trump,Trafalgar Group,1089,2024-10-08,Georgia,46.2,9
Kamala Harris,Emerson,1000,2024-10-08,Arizona,48.2,9
Donald Trump,Emerson,1000,2024-10-08,Arizona,50.5,9
Kamala Harris,Emerson,1000,2024-10-08,Georgia,49.8,9
Donald Trump,Emerson,1000,2024-10-08,Georgia,49.7,9
Kamala Harris,Emerson,950,2024-10-08,Michigan,49.7,9
Donald Trump,Emerson,950,2024-10-08,Michigan,49.6,9
Kamala Harris,Emerson,900,2024-10-08,Nevada,49.2,9
Donald Trump,Emerson,900,2024-10-08,Nevada,48.1,9
Kamala Harris,Emerson,1000,2024-10-08,North Carolina,49,9
Donald Trump,Emerson,1000,2024-10-08,North Carolina,49.9,9
Kamala Harris,Emerson,1000,2024-10-08,Pennsylvania,49,9
Donald Trump,Emerson,1000,2024-10-08,Pennsylvania,49.7,9
Kamala Harris,Emerson,1000,2024-10-08,Wisconsin,49.2,9
Donald Trump,Emerson,1000,2024-10-08,Wisconsin,49.9,9
Kamala Harris,Siena/NYT,656,2024-10-08,Montana,39,9
Donald Trump,Siena/NYT,656,2024-10-08,Montana,57,9
Kamala Harris,Siena/NYT,656,2024-10-08,Montana,38,9
Donald Trump,Siena/NYT,656,2024-10-08,Montana,56,9
Kamala Harris,Siena/NYT,656,2024-10-08,Montana,40,9
Donald Trump,Siena/NYT,656,2024-10-08,Montana,57,9
Kamala Harris,Siena/NYT,656,2024-10-08,Montana,39,9
Donald Trump,Siena/NYT,656,2024-10-08,Montana,56,9
Kamala Harris,Change Research,895,2024-10-08,Nebraska,38,9
Donald Trump,Change Research,895,2024-10-08,Nebraska,58,9
Kamala Harris,Fabrizio/Impact,600,2024-10-08,Michigan,46,9
Donald Trump,Fabrizio/Impact,600,2024-10-08,Michigan,46,9
Kamala Harris,Fabrizio/Impact,600,2024-10-08,Michigan,48,9
Donald Trump,Fabrizio/Impact,600,2024-10-08,Michigan,49,9
Kamala Harris,Fabrizio/GBAO,600,2024-10-08,Arizona,47,9
Donald Trump,Fabrizio/GBAO,600,2024-10-08,Arizona,45,9
Kamala Harris,Fabrizio/GBAO,600,2024-10-08,Arizona,48,9
Donald Trump,Fabrizio/GBAO,600,2024-10-08,Arizona,46,9
Kamala Harris,Fabrizio/GBAO,600,2024-10-08,Georgia,46,9
Donald Trump,Fabrizio/GBAO,600,2024-10-08,Georgia,45,9
Kamala Harris,Fabrizio/GBAO,600,2024-10-08,Georgia,48,9
Donald Trump,Fabrizio/GBAO,600,2024-10-08,Georgia,46,9
Kamala Harris,Fabrizio/GBAO,600,2024-10-08,Michigan,47,9
Donald Trump,Fabrizio/GBAO,600,2024-10-08,Michigan,45,9
Kamala Harris,Fabrizio/GBAO,600,2024-10-08,Michigan,49,9
Donald Trump,Fabrizio/GBAO,600,2024-10-08,Michigan,47,9
Kamala Harris,Fabrizio/GBAO,600,2024-10-08,North Carolina,45,9
Donald Trump,Fabrizio/GBAO,600,2024-10-08,North Carolina,46,9
Kamala Harris,Fabrizio/GBAO,600,2024-10-08,North Carolina,47,9
Donald Trump,Fabrizio/GBAO,600,2024-10-08,North Carolina,47,9
Kamala Harris,Fabrizio/GBAO,600,2024-10-08,Nevada,42,9
Donald Trump,Fabrizio/GBAO,600,2024-10-08,Nevada,47,9
Kamala Harris,Fabrizio/GBAO,600,2024-10-08,Nevada,43,9
Donald Trump,Fabrizio/GBAO,600,2024-10-08,Nevada,49,9
Kamala Harris,Fabrizio/GBAO,600,2024-10-08,Pennsylvania,45,9
Donald Trump,Fabrizio/GBAO,600,2024-10-08,Pennsylvania,46,9
Kamala Harris,Fabrizio/GBAO,600,2024-10-08,Pennsylvania,46,9
Donald Trump,Fabrizio/GBAO,600,2024-10-08,Pennsylvania,47,9
Kamala Harris,Fabrizio/GBAO,600,2024-10-08,Wisconsin,46,9
Donald Trump,Fabrizio/GBAO,600,2024-10-08,Wisconsin,45,9
Kamala Harris,Fabrizio/GBAO,600,2024-10-08,Wisconsin,48,9
Donald Trump,Fabrizio/GBAO,600,2024-10-08,Wisconsin,48,9
Kamala Harris,Targoz Market Research,1200,2024-10-08,Tennessee,35,9
Donald Trump,Targoz Market Research,1200,2024-10-08,Tennessee,54,9
Kamala Harris,Targoz Market Research,971,2024-10-08,Tennessee,35,9
Donald Trump,Targoz Market Research,971,2024-10-08,Tennessee,56,9
Kamala Harris,ActiVote,400,2024-10-08,Arizona,49.3,9
Donald Trump,ActiVote,400,2024-10-08,Arizona,50.7,9
Kamala Harris,SoCal Strategies,735,2024-10-07,Arizona,48.7,10
Donald Trump,SoCal Strategies,735,2024-10-07,Arizona,47.8,10
Kamala Harris,Research Co.,450,2024-10-07,Michigan,51,10
Donald Trump,Research Co.,450,2024-10-07,Michigan,48,10
Kamala Harris,Research Co.,450,2024-10-07,Pennsylvania,50,10
Donald Trump,Research Co.,450,2024-10-07,Pennsylvania,49,10
Kamala Harris,Research Co.,450,2024-10-07,Wisconsin,50,10
Donald Trump,Research Co.,450,2024-10-07,Wisconsin,48,10
Kamala Harris,Quinnipiac,1007,2024-10-07,Michigan,47,10
Donald Trump,Quinnipiac,1007,2024-10-07,Michigan,50,10
